,lien,flag,strong_word,content
0,https://www.mg-tech.fr/fr,MG-Tech,,"mg-tech  cette année encore, plus que d'habitude, nous sommes restés mobilisés pour vous accompagner dans vos projets. partageons encore de belles aventures ensemble. toutes les équipes mg-tech vous souhaitent une bonne annee 2021 ! spécialisé dans les machines d’emballage, la société mg-tech propose, aux industriels des secteurs agroalimentaires, pharma-cosmétiques et industrielles, une gamme de formeuses de caisses, d’encaisseuses, de palettiseurs, mais également des solutions de transitique et convoyage. le groupe opère également une diversification via des applications de robotiques mobiles pour faciliter les opérations de manutention des industriels. labellisé « vitrines industrie du futur », le groupe mg tech a fait de l’interconnectivité, un pilier de sa stratégie. jour après jour, nous nous engageons à vous accompagner durablement avec des équipements fiables et évolutifs qui vous offriront davantage de productivité, d’ agilité et de confort. ergonomique, évolutive et surtout connectée, notre nouvelle formeuse de caisse evobox offre une cadence élevée et des produits parfaitement exécutés pour des coûts de maintenance maitrisés et réduits. grâce à sa connectivité et son orientation 4.0, cette formeuse de caisse permet l’analyse de l’état des pièces d’usure et la visualisation des zones concernées. les changements de format sont aussi facilitée grâce à son écran tactile 12’’ et ses tutoriels vidéos pour vous aider dans les réglages de changement. mg-tech, un groupe indépendant à taille humaine, est spécialisé dans la conception et la production de solutions complètes de conditionnement : carton compact, carton ondulé, palettisation et manutention automatisée. notre savoir-faire en robotique et nos différents sites de production vous garantissent un accompagnement personnalisé tout au long de vos projets de conditionnement et l’optimisation de vos lignes de production. le groupe mg-tech c'est 165 collaborateurs répartis sur 3 sites de production en france, un gage de qualité et de confiance, l'assurance du « made in france » depuis plus de 15 ans. jour après jour, toutes les équipes mg-tech s’engagent à vous accompagner durablement avec des équipements fiables et évolutifs, qui vous offriront davantage de productivité, d’agilité et de confort. "
1,https://www.mg-tech.fr/fr/newsroom,MG-Tech,,"            newsroom          bienvenue dans la newsroom mg-tech. retrouvez ici nos dernières actualités, communiqués de presse, événements… pour rester informé sur les actions du groupe, n’hésitez pas à nous suivre sur les réseaux sociaux : linkedin et twitter. "
2,https://extranet.mg-tech.fr/vdoc/easysite/mymgtech,MG-Tech,la maitrise du conditionnement,title mon espace client actualités mg-tech
3,https://www.mg-tech.fr/fr/contact,MG-Tech,,contact  vous avez besoin d’une information sur une de nos solutions ? vous cherchez à contacter un de nos commerciaux pour discuter d’un projet ? vous avez un souci avec votre machine et cherchez à joindre le service après-vente ?  cliquez sur l’onglet ci-dessous pour trouver votre contact le plus proche ou remplissez le formulaire et nous vous recontacterons dans les plus brefs délais.    
4,https://www.mg-tech.fr/fr/talents,MG-Tech,"l’innovation, la digitalisation, l’usine 4.0… vous motive ? vous appréciez la convivialité et le travail en collaboration la stabilité de la société un développement à l’international ","            talents          la société mg-tech, concepteur et fabricant de solutions de fin de ligne de conditionnement, est un groupe dynamique et en perpétuelle évolution : innovation produit, robotique, développement à l’international… travailler chez mg-tech c’est faire partie d’une entreprise à taille humaine où l’esprit d’équipe, la transparence et le service client sont chaque jour au cœur des activités de nos collaborateurs. notre politique rh se traduit notamment par :   vous souhaitez faire partie de notre aventure ? alors n’hésitez plus et rejoignez-nous ! consultez régulièrement nos offres d’emplois ou envoyer votre candidature spontanée à jobs@mg-tech.fr. l’innovation, la digitalisation, l’usine 4.0… vous motive ? rejoignez une société qui a dans son adn ce goût de la transformation et de l’innovation, cette envie de démocratiser l’usine 4.0 et d’apporter à ces clients des solutions innovantes pour améliorer leur productivité. vous appréciez la convivialité et le travail en collaboration chez mg-tech, les salariés aiment co-construire, se motiver, se rassembler autour d’un projet commun et partager leurs idées. la stabilité de la société créée en 2004, la société mg-tech s’est largement développé et a acquis au fil des années différentes sociétés qui lui ont permis de compléter ses savoir-faire et ainsi se diversifier dans ses gammes de machines. cela a permis de conforter la stabilité financière de la compagnie, même lors de crise importante. un développement à l’international mg-tech poursuit sa croissance hors de l’hexagone, notamment en europe et sur le continent nord-américain. de nouvelles entités devraient voir le jour prochainement pour permettre de développer la marque et le business à l’international. "
5,https://www.mg-tech.fr/en-gb,MG-Tech,,"mg-tech  this year again, more than usual, we remained mobilized to support you in your projects. let's share more beautiful adventures together. all mg-tech teams wish you a happy new year 2021! specialized in packaging machines, mg-tech company provides, for food, pharmaceuticals, cosmetics and industrial packaging activities, a range of case formers, packers, palletizers, but also offers conveying solutions. the group has begun a diversification in mobile robotics applications to ease industrial handling operations.   labelled « showcase industry of the future”, the mg-tech group has made interconnectivity the foundation of its strategy. day after day, we are committed to providing you with long-term support and reliable, evolving equipment that gives you more productivity, agility and comfort. ergonomics, evolutive and connected, our new evobox case former provides high speed and perfectly executed products for controlled and reduced maintenance costs. through its connectivity and 4.0 orientation, this case former allows the analysis of the state of wearing parts and the visualization of the concerned area. format changes are easy to operate thanks to its 12’’ touch screen and its video tutorials to help you in change parameters. mg-tech, an independent group on a human scale, is specialized in the design and production of complete packaging lines: compact cardboard, corrugated cardboard, palletization and automated handling. our robotics know-how and our different production sites ensure you a customized support throughout your packaging projects and the optimization of your production lines. the mg-tech group has 165 employees spread over 3 production sites in france, a guarantee of quality and confidence, the assurance of “made in france” for more than 15 years. day after day, we are committed to providing you with long-term support and reliable, evolving equipment that gives you more productivity, agility and comfort. "
6,https://www.mg-tech.fr/es,MG-Tech,,"mg-tech  este año, más de lo habitual, nos mantuvimos movilizados para apoyarlos en sus proyectos. compartamos más aventuras hermosas juntos. ¡todos los equipos de mg-tech les desean un feliz año nuevo 2021! la empresa mg-tech, especializada en las máquinas de embalaje, ofrece a los industriales de los sectores agroalimentario, farmacosmético e industrial, una gama de formadoras de cajas, encajadoras y paletizadoras, así como soluciones de logística interna y de transporte. además, el grupo se está diversificando mediante aplicaciones de robótica móvil para facilitar las operaciones de manipulación industrial. el grupo mg-tech, certificado «vitrine industrie du futur» (escaparate industria del futuro), ha convertido la interconectividad en un pilar de su estrategia. día tras día, nos comprometemos a acompañarle de forma duradera con equipos fiables y evolutivos, que le ofrecerán mayor productividad, agilidad y confort. nuestra nueva formadora de cajas evobox, ergonómica, evolutiva y sobre todo conectada, le ofrece una cadencia elevada y productos perfectamente ejecutados que le ayudan a disminuir y controlar los gastos de mantenimiento. esta formadora de cajas le permite analizar el estado de las piezas de desgaste y visualizar las zonas afectadas gracias a su conectividad y su orientación 4.0. le facilita igualmente los cambios de formato gracias a su pantalla táctil de 30,5 cm (12'') y sus videotutoriales que le ayudan a configurar estos cambios. mg-tech, un grupo independiente a escala humana, está especializado en el diseño y la producción de soluciones completas de embalaje: cartón compacto, cartón ondulado, paletizado y manipulación automatizada. gracias a nuestro saber hacer en el ámbito de la robótica y nuestros diferentes centros de producción, podemos garantizarle un acompañamiento personalizado a lo largo de sus proyectos de embalaje y la optimización de sus líneas de producción. el grupo mg-tech cuenta con 165 colaboradores repartidos en 3 centros de producción en francia, una muestra de calidad y de confianza y la garantía del producto «made in france» desde hace más de 15 años. día tras día, todos los equipos de mg-tech se comprometen a acompañarle de forma duradera con equipos fiables y evolutivos, que le ofrecerán mayor productividad, agilidad y confort. "
7,https://www.mg-tech.fr/fr/equipements,MG-Tech,,"            nos solutions et équipements pour vos fins de ligne de conditionnement           spécialisé dans l’étude, la conception et la production d’équipements pour vos fins de ligne de conditionnement, mg-tech a développé une large gamme de machines (formeuses, encaisseuses, palettiseurs…) mais également une ligne de robots mobiles et de convoyage (agv, aiv, lignes de convoyage ergonomiques…). du standard à la machine spéciale, découvrez nos solutions : "
8,https://www.mg-tech.fr/fr/equipements/mg-tech-pack,MG-Tech,,mg tech pack            trouvez votre équipement pour votre fin de ligne de conditionnement : de la mise en volume de caisses à la palettisation en passant par l’encaissage.  
9,https://www.mg-tech.fr/fr/equipements/mg-tech-pack/solutions-de-sur-emballage,MG-Tech,,"            solutions de sur-emballage          pour répondre aux besoins de ses clients en termes de sur-emballage, mg-tech propose des équipements automatiques et spécifiques qui sauront parfaitement s’adapter aux différentes contraintes du marché. parmi ces machines de sur-emballage, on y retrouve les wrappeuses, des machines pour pose fourreaux, des solutions de mise en boite cartons et des étuyeuses. cliquez sur nos solutions pour en savoir plus et faites votre choix en fonction des produits que vous souhaitez sur-emballer.   "
10,https://www.mg-tech.fr/fr/equipements/mg-tech-pack/solutions-de-formeuses-et-fermeuses-de-caisses,MG-Tech,,"            solutions de formeuses et fermeuses de caisses          mg tech a développé une gamme de formeuses et fermeuses de caisses permettant de répondre à vos différents besoins et exigences : cadence, encombrement, ergonomie… nos équipements robustes vous garantissent une cadence élevée, des produits parfaitement exécutés et un coût de maintenance réduit. ils peuvent prendre en charge un large éventail de cartons et types de caisses : caisses ouvertes ou fermées, prêts à vendre, caisses américaines, caisses 4 coins collés, caisses trottoirs, coiffes, caisses dièdres, … nos formeuses et fermeuses de caisses sont intégralement fabriquées en france et peuvent s’adapter parfaitement à vos besoins et vos lignes de production. comparez nos différents équipements et équipez-vous avec la formeuse qui répondra à vos besoins de production.   "
11,https://www.mg-tech.fr/fr/equipements/mg-tech-pack/solutions-dencaissage,MG-Tech,,"            solutions d'encaissage          mg-tech est spécialisé dans l'étude, la conception et la mise au point d'encaisseuses pour vos lignes d'emballage. grâce à leur cadence élevée, nos encaisseuses automatisées et modulaires vous permettront un gain de productivité. nos machines d’encaissage sont de fabrication 100% française et peuvent s’adapter parfaitement à vos besoins et vos lignes de production. découvrez notre gamme d’encaisseuses (top load – encaissage dans des cartons déjà formés - ou wrap – encaissage à partir de découpe de cartons à plat) et choisissez celle qui saura répondre le mieux à votre besoin.   "
12,https://www.mg-tech.fr/fr/equipements/mg-tech-pack/solutions-de-palettisation,MG-Tech,,"            solutions de palettisation          pour compléter sa gamme d’équipements et permettre de vous proposer des solutions complètes, mg-tech propose également des solutions de palettisation automatisées. du standard au spécifique, mg-tech répond à tous vos besoins de palettisation avec des solutions adaptées. peu importe le type de cartons ou de caisses à manipuler, nos palettiseurs automatiques sont en mesure de créer des palettes entières ou des semi-palettes. nos équipes peuvent aussi vous accompagner pour des projets de palettisation plus spécifiques. découvrez nos solutions de palettisation et contactez-nous pour concrétiser vos projets.   "
13,https://www.mg-tech.fr/fr/equipements/mg-tech-pack/solutions-de-lignes-completes,MG-Tech,,"            solutions de lignes complètes          les compétences et l'expertise de nos différents sites de production, avec leurs activités et gammes de produits complémentaires, nous permettent de répondre à tous vos projets de fin de ligne et vous proposer une solution complète.  les équipes du groupe mg-tech sont avant tout des professionnels qui vous accompagnent tout au long de votre projet : en tant que professionnels expérimentés nous vous apportons des réponses complètes et personnalisées dans les domaines de l'emballage, de la palettisation et des solutions de convoyage. les combinaisons sont multiples et peuvent combiner à la fois des fonctions de formage, d’encaissage, de convoyage, d’étuyage, de palettisation, en fonction de votre activité et des produits que vous avez besoin d’emballer. en parallèle, les équipes mg-tech ont développé un équipement standard, regroupant plusieurs fonctionnalités d’emballage, appelé « combiné ». "
14,https://www.mg-tech.fr/fr/equipements/mg-tech-moove,MG-Tech,,mg tech moove           découvrez nos solutions transitiques comprenant un large choix de convoyeurs et notre gamme de robots mobiles agv/aiv.  
15,https://www.mg-tech.fr/fr/equipements/mg-tech-moove/ligne-de-convoyage,MG-Tech,,"            ligne de convoyage          produit ou caisse, la transitique permet d'interconnecter vos équipements. plus qu'une succession de convoyeurs, mg-tech porte sur votre projet un regard global. nous apportons notre expertise sur des implantations complexes allant de l'intégration des équipements annexes (identification, contrôle qualité) jusqu’à de l'ingénierie. notre propre équipe d’automaticiens est chargée de vos projets de transitique. nous recherchons les synergies groupe sur les lignes complètes. (la transitique est prise en compte dès le début d'un projet de ligne, elle n'est jamais considérée comme une pièce rapportée). la transitique se met au service de vos machines pour produire. elle doit fluidifier la circulation des produits entrants et sortants). mg-tech s'efforce de trouver et de vous proposer les solutions les plus compactes, dans une recherche d'efficacité technico-économique mais sans compromis sur le résultat que vous recherchez. nous disposons d'une large gamme de convoyeurs conçus et fabriqués au sein de nos ateliers. si nous n'avons pas l'équipement que nous considérons le mieux convenir à votre projet, nous n'hésitons pas à aller le chercher ailleurs, chez nos partenaires, toujours en toute transparence à votre égard. "
